field_ID,total_cells,t0,t0_capped,t0_empty_cells,t2,t2_capped,t2_uncapped,t2_empty_cells,removal ,assay_score
Latshaw G17 II,55,10:00,51,1,12:00,51,1,1,0,0.00
#28 52 ,53,10:09,51,2,12:09,51,2,2,0,0.00
G17,51,10:18,50,1,12:18,50,1,1,0,0.00
Breeder '21 S2-24,51,10:23,49,2,12:23,39,15,2,0,0.20
M #31 II,52,10:36,52,0,12:36,8,46,1,1,0.85
S2 II,47,10:42,45,2,12:42,35,15,2,0,0.22
M II,50,10:45,44,6,12:45,8,45,13,7,0.82
S2 #32 II,52,10:48,53,1,12:48,43,7,2,1,0.19
B2-21,55,10:54,55,0,12:54,3,53,7,7,0.95
G17 II,49,11:01,48,1,1:01,39,11,1,0,0.19
G17 23 II,51,11:04,47,4,1:04,4,49,4,0,0.91
G23,50,11:19,48,2,1:19,28,22,2,0,0.42
S2 II,50,11:23,48,2,1:23,43,11,3,1,0.10
M II,50,11:31,49,1,1:31,36,17,1,0,0.27
S2 II,52,11:37,48,4,1:37,38,14,4,0,0.21
I-19 II,51,11:41,47,4,1:41,0,54,11,7,1.00
B1,,4:05,53,2,6:05,50,5,2,0,0.06
B2,,4:08,52,0,6:08,26,26,0,0,0.50
B3,,4:11,47,5,6:11,46,6,5,0,0.02
B4,,4:15,56,0,6:15,55,2,0,0,0.02
B5,,4:18,54,0,6:18,54,0,0,0,0.00
B6,,4:20,56,0,6:20,56,0,0,0,0.00
B7,,4:25,53,3,6:25,39,17,5,2,0.26
B8,,4:28,55,0,6:28,53,4,0,0,0.04
B9,,4:32,53,0,6:32,45,10,2,2,0.15
B10,,4:43,54,0,6:43,17,37,0,0,0.69
B11,,4:37,54,0,6:37,40,14,0,0,0.26
B12,,4:40,52,0,6:40,52,1,0,0,0.00
B13,,4:46,53,0,6:47,20,36,0,0,0.62
B14,,4:49,53,1,6:49,30,26,1,0,0.43
B15,,4:53,53,1,6:53,53,1,1,0,0.00
B16,,4:57,55,0,6:57,55,0,0,0,0.00
Latshaw G17 II,,,,,,,,,,
#28 52 ,,,,,,,,,,
G17,,,,,,,,,,
Breeder '21 S2-24,,,,,,,,,,
M #31 II,,,,,,,,,,
S2 II,,,,,,,,,,
M II,,,,,,,,,,
S2 #32 II,,,,,,,,,,
B2-21,,,,,,,,,,
G17 II,,,,,,,,,,
G17 23 II,,,,,,,,,,
G23,,,,,,,,,,
S2 II,,,,,,,,,,
M II,,,,,,,,,,
S2 II,,,,,,,,,,
I-19 II,,,,,,,,,,
B1,,,,,,,,,,
B2,,,,,,,,,,
B3,,,,,,,,,,
B4,,,,,,,,,,
B5,,,,,,,,,,
B6,,,,,,,,,,
B7,,,,,,,,,,
B8,,,,,,,,,,
B9,,,,,,,,,,
B10,,,,,,,,,,
B11,,,,,,,,,,
B12,,,,,,,,,,
B13,,,,,,,,,,
B14,,,,,,,,,,
B15,,,,,,,,,,
B16,,,,,,,,,,
84,,9:26,53,,11:26,51,,,,0.04
85,,9:27,51,,11:27,19,,,,0.63
86,,9:29,51,,11:29,46,,,,0.10
87,,9:32,51,,11:32,49,,,,0.04
88,,9:36,52,,11:34,49,,,,0.06
89,,9:38,54,,11:38,52,,,,0.04
90,,9:40,50,,11:40,4,,,,0.92
91,,9:43,47,,11:43,21,,,,0.55
92,,9:45,55,,11:45,29,,,,0.47
93,,9:49,52,,11:49,12,,,,0.77
94,,9:52,50,,11:52,49,,,,0.02
95,,,,,,,,,,
96,,10:01,56,,12:01,38,,,,0.32
97,,10:03,52,,12:03,47,,,,0.10
98,,10:05,48,,12:05,35,,,,0.27
99,,10:07,53,,12:07,49,,,,0.08
100,,10:11,55,,12:11,43,,,,0.22
101,,10:12,50,,12:12,33,,,,0.34
102,,10:14,50,,12:14,13,,,,0.74
103,,10:17,51,,12:16,49,,,,0.04
104,,10:19,52,,12:19,48,,,,0.08
105,,10:23,52,,12:23,47,,,,0.10
106,,10:25,55,,12:25,53,,,,0.04
107,,10:27,49,,12:27,49,,,,0.00
108,,10:29,53,,12:29,49,,,,0.08
109,,10:31,53,,12:31,49,,,,0.08
110,,10:33,47,,12:33,46,,,,0.02
111,,,,,,,,,,
112,,10:37,49,,12:37,47,,,,0.04
113,,10:39,51,,12:39,49,,,,0.04
114,,10:42,52,,12:42,47,,,,0.10
115,,10:44,52,,12:44,44,,,,0.15
116,,10:46,51,,12:46,48,,,,0.06
117,,10:49,48,,12:49,44,,,,0.08
118,,,,,,,,,,
119,,10:51,48,,12:50,45,,,,0.06
120,,10:54,50,,12:54,25,,,,0.50
121,,10:56,49,,12:56,27,,,,0.45
122,,10:59,53,,12:59,49,,,,0.08
