Annual_meetings,Mentorship_program,Access_resources,Educational_workshops,Industry_policy_insights,Networking_opportunities ,News_updates,Marketing_social,Age,Gender,Race,Location,Scale,Beekeeping_experience
Satisfied,No prior experience,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,55-64,Male,White,Southern Vermont,Hobbyist Beekeeper (<25 colonies) ,10+
Satisfied,No prior experience,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Satisfied,35-54,Male,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,4-6
Very satisfied,,Satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,65+,Male,White,Western Vermont,Hobbyist Beekeeper (<25 colonies) ,4-6
Very satisfied,No prior experience,No prior experience,No prior experience,No prior experience,Very satisfied,Very satisfied,Very satisfied,55-64,Male,White,Other,Sideliner Beekeeper (25-300 colonies),4-6
No prior experience,No prior experience,Very satisfied,Very satisfied,Very satisfied,No prior experience,Very satisfied,No prior experience,65+,Female,White,Central Vermont,Hobbyist Beekeeper (<25 colonies) ,0-3
No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,,,,,,
Satisfied,Neutral,Satisfied,Very satisfied,Neutral,Neutral,Unsatisfied,Satisfied,55-64,Female,White,Central Vermont,Hobbyist Beekeeper (<25 colonies) ,10+
Neutral,,,,,,,,65+,Male,White,Northeast Vermont,Sideliner Beekeeper (25-300 colonies),10+
Very satisfied,Unsatisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Neutral,65+,Male,White,,Hobbyist Beekeeper (<25 colonies) ,10+
Very satisfied,No prior experience,Satisfied,Satisfied,Neutral,,Very satisfied,Neutral,65+,Female,White,Central Vermont,Hobbyist Beekeeper (<25 colonies) ,7-10
No prior experience,Very unsatisfied,Very unsatisfied,Very unsatisfied,Very unsatisfied,Very unsatisfied,Very unsatisfied,Very unsatisfied,35-54,Female,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,7-10
Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,35-54,Male,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,7-10
,,,,,,,,35-54,Female,White,Other,Hobbyist Beekeeper (<25 colonies) ,4-6
No prior experience,No prior experience,Satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,35-54,Male,White,Western Vermont,Hobbyist Beekeeper (<25 colonies) ,4-6
Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,,,,
Neutral,Neutral,Unsatisfied,Neutral,Neutral,Neutral,Neutral,Satisfied,,,,,,
Very satisfied,Satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,65+,Male,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,10+
Satisfied,No prior experience,Satisfied,Very satisfied,Satisfied,Neutral,Satisfied,Neutral,65+,Male,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,4-6
Very satisfied,Neutral,Very satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,,,,,,
No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,55-64,Male,,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,0-3
No prior experience,No prior experience,No prior experience,Satisfied,Neutral,No prior experience,No prior experience,Neutral,55-64,Male,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,0-3
Satisfied,No prior experience,Very satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,35-54,Male,White,Western Vermont,Hobbyist Beekeeper (<25 colonies) ,0-3
No prior experience,Very satisfied,No prior experience,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No prior experience,55-64,Female,White,Northeast Vermont,Hobbyist Beekeeper (<25 colonies) ,7-10
No prior experience,Very satisfied,Satisfied,Satisfied,No prior experience,Satisfied,Very satisfied,Very satisfied,35-54,Female,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,4-6
Very satisfied,No prior experience,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,,,,
Satisfied,,Very satisfied,Satisfied,,Satisfied,,Satisfied,35-54,Female,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,4-6
Satisfied,Unsatisfied,Satisfied,Very satisfied,No prior experience,Unsatisfied,Very satisfied,Very satisfied,55-64,Female,White,Northeast Vermont,Hobbyist Beekeeper (<25 colonies) ,0-3
Very satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,65+,Male,White,Central Vermont,Hobbyist Beekeeper (<25 colonies) ,10+
Satisfied,No prior experience,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,35-54,Male,Native American or Alaska Native,Western Vermont,Sideliner Beekeeper (25-300 colonies),0-3
